Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Effective,CTD Interest Accrual Date,CTD Maturity,CTD Coupon Frequency,CTD Day Count,CTD Coupon,Futures Expiry Month/Year,CTD Price
31-Jul-2013,0.7812,EI767213,CNU13,131.55,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.077
1-Aug-2013,0.7812,EI767213,CNU13,130.33,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.313
2-Aug-2013,0.7812,EI767213,CNU13,131.21,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.769
6-Aug-2013,0.7812,EI767213,CNU13,130.79,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.538
7-Aug-2013,0.7812,EI767213,CNU13,131.02,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.648
8-Aug-2013,0.7812,EI767213,CNU13,131.19,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.683
9-Aug-2013,0.7812,EI767213,CNU13,131.29,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.84
12-Aug-2013,0.7812,EI767213,CNU13,130.94,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.417
13-Aug-2013,0.7812,EI767213,CNU13,129.94,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.688
14-Aug-2013,0.7812,EI767213,CNU13,129.88,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.659
