Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Effective,CTD Interest Accrual Date,CTD Maturity,CTD Coupon Frequency,CTD Day Count,CTD Coupon,Futures Expiry Month/Year,CTD Price
4/9/2012,0.843,EH963117,CNM12,131.93,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.583
4/10/2012,0.843,EH963117,CNM12,132.61,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,112.281
4/11/2012,0.843,EH963117,CNM12,132.43,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,112.044
4/12/2012,0.843,EH963117,CNM12,132.03,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.785
4/13/2012,0.843,EH963117,CNM12,132.45,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,112.26
4/16/2012,0.843,EH963117,CNM12,132.37,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,112.052
4/17/2012,0.843,EH963117,CNM12,131.76,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.549
4/18/2012,0.843,EH963117,CNM12,131.99,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.787
4/19/2012,0.843,EH963117,CNM12,132.19,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.728
4/20/2012,0.843,EH963117,CNM12,131.77,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.621
4/23/2012,0.843,EH963117,CNM12,132.02,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.717
4/24/2012,0.843,EH963117,CNM12,131.86,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.45
4/25/2012,0.843,EH963117,CNM12,131.35,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.17
4/26/2012,0.843,EH963117,CNM12,131.74,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.518
4/27/2012,0.843,EH963117,CNM12,131.68,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.321
4/30/2012,0.843,EH963117,CNM12,132.05,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.752
5/1/2012,0.843,EH963117,CNM12,132.01,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.682
5/2/2012,0.843,EH963117,CNM12,132.33,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,111.89
5/3/2012,0.843,EH963117,CNM12,132.53,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,112.046
5/4/2012,0.843,EH963117,CNM12,133.27,EH963117 Govt,CNM12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Jun,112.632
