,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST_FUTS,join_id_bonds,join_id_fut,DAY_CNT_DES,MATURITY,CPN,INT_ACC_DT,CPN_FREQ,ISSUE_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
2/5/2013,0.9504,912810FE,USH13,142.75,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,136.6015625
2/6/2013,0.9504,912810FE,USH13,143.53125,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,137.1953125
2/7/2013,0.9504,912810FE,USH13,143.78125,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,137.25
2/8/2013,0.9504,912810FE,USH13,143.6875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,137.2578125
2/11/2013,0.9504,912810FE,USH13,143.875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,137.0625
2/12/2013,0.9504,912810FE,USH13,143.25,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,136.8203125
2/13/2013,0.9504,912810FE,USH13,142.625,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,135.9921875
2/14/2013,0.9504,912810FE,USH13,143.46875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,137
2/15/2013,0.9504,912810FE,USH13,143.46875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,136.7890625
2/19/2013,0.9504,912810FE,USH13,143.0625,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,136.4453125
2/20/2013,0.9504,912810FE,USH13,143.09375,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,136.6328125
