FirstDate, SecondDate, Previous DV01, Previous Forward Rate, Spot DV01, Spot Forward Rate, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL, Floater Label
11-SEP-2013, 12-SEP-2013,  0.25507440,  0.24500167,  0.25507613,  0.24500167,  0.00004252,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004252, JPY-LIBOR-3M
12-SEP-2013, 13-SEP-2013,  0.25507613,  0.24500167,  0.25507300,  0.24750170,  0.06369237,  0.06376951,  0.00000000,  0.00000000,  0.06376951, -0.00007715, JPY-LIBOR-3M
17-SEP-2013, 18-SEP-2013,  0.25492520,  0.24500167,  0.25492693,  0.24500167,  0.00004249, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004249, JPY-LIBOR-3M
18-SEP-2013, 19-SEP-2013,  0.25492693,  0.24500167,  0.25492867,  0.24500167,  0.00004249,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004249, JPY-LIBOR-3M
19-SEP-2013, 20-SEP-2013,  0.25492867,  0.24500167,  0.25493040,  0.24500167,  0.00004249, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004249, JPY-LIBOR-3M
20-SEP-2013, 23-SEP-2013,  0.25493040,  0.24500167,  0.25493561,  0.24500167,  0.00012748, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00012748, JPY-LIBOR-3M
23-SEP-2013, 24-SEP-2013,  0.25493561,  0.24500167,  0.25493734,  0.24500167,  0.00004249, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004249, JPY-LIBOR-3M
24-SEP-2013, 25-SEP-2013,  0.25493734,  0.24500167,  0.25493907,  0.24500167,  0.00004249,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004249, JPY-LIBOR-3M
25-SEP-2013, 26-SEP-2013,  0.25493907,  0.24500167,  0.25494081,  0.24500167,  0.00004249,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004249, JPY-LIBOR-3M
26-SEP-2013, 27-SEP-2013,  0.25494081,  0.24500167,  0.25494254,  0.24500167,  0.00004250, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004250, JPY-LIBOR-3M
27-SEP-2013, 30-SEP-2013,  0.25494254,  0.24500167,  0.25494775,  0.24500167,  0.00012749,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00012749, JPY-LIBOR-3M
30-SEP-2013, 01-OCT-2013,  0.25494775,  0.24500167,  0.25494948,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
01-OCT-2013, 02-OCT-2013,  0.25494948,  0.24500167,  0.25495122,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
02-OCT-2013, 03-OCT-2013,  0.25495122,  0.24500167,  0.25495295,  0.24500167,  0.00004250, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004250, JPY-LIBOR-3M
03-OCT-2013, 04-OCT-2013,  0.25495295,  0.24500167,  0.25495468,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
04-OCT-2013, 07-OCT-2013,  0.25495468,  0.24500167,  0.25495989,  0.24500167,  0.00012749, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00012749, JPY-LIBOR-3M
07-OCT-2013, 08-OCT-2013,  0.25495989,  0.24500167,  0.25496162,  0.24500167,  0.00004250, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004250, JPY-LIBOR-3M
08-OCT-2013, 09-OCT-2013,  0.25496162,  0.24500167,  0.25496336,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
09-OCT-2013, 10-OCT-2013,  0.25496336,  0.24500167,  0.25496509,  0.24500167,  0.00004250, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004250, JPY-LIBOR-3M
10-OCT-2013, 11-OCT-2013,  0.25496509,  0.24500167,  0.25496683,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
11-OCT-2013, 14-OCT-2013,  0.25496683,  0.24500167,  0.25497203,  0.24500167,  0.00012750, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00012750, JPY-LIBOR-3M
14-OCT-2013, 15-OCT-2013,  0.25497203,  0.24500167,  0.25497377,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
15-OCT-2013, 16-OCT-2013,  0.25497377,  0.24500167,  0.25497550,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
16-OCT-2013, 17-OCT-2013,  0.25497550,  0.24500167,  0.25497724,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
17-OCT-2013, 18-OCT-2013,  0.25497724,  0.24500167,  0.25497897,  0.24500167,  0.00004250, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004250, JPY-LIBOR-3M
18-OCT-2013, 21-OCT-2013,  0.25497897,  0.24500167,  0.25498417,  0.24500167,  0.00012751, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00012751, JPY-LIBOR-3M
21-OCT-2013, 22-OCT-2013,  0.25498417,  0.24500167,  0.25498591,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
22-OCT-2013, 23-OCT-2013,  0.25498591,  0.24500167,  0.25498764,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
23-OCT-2013, 24-OCT-2013,  0.25498764,  0.24500167,  0.25498938,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
24-OCT-2013, 25-OCT-2013,  0.25498938,  0.24500167,  0.25499111,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
25-OCT-2013, 28-OCT-2013,  0.25499111,  0.24500167,  0.25499632,  0.24500167,  0.00012751,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00012751, JPY-LIBOR-3M
28-OCT-2013, 29-OCT-2013,  0.25499632,  0.24500167,  0.25499805,  0.24500167,  0.00004250, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004250, JPY-LIBOR-3M
29-OCT-2013, 30-OCT-2013,  0.25499805,  0.24500167,  0.25499979,  0.24500167,  0.00004250,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004250, JPY-LIBOR-3M
30-OCT-2013, 31-OCT-2013,  0.25499979,  0.24500167,  0.25500152,  0.24500167,  0.00004251,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004251, JPY-LIBOR-3M
31-OCT-2013, 01-NOV-2013,  0.25500152,  0.24500167,  0.25500326,  0.24500167,  0.00004251,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004251, JPY-LIBOR-3M
01-NOV-2013, 04-NOV-2013,  0.25500326,  0.24500167,  0.25500846,  0.24500167,  0.00012752, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00012752, JPY-LIBOR-3M
04-NOV-2013, 05-NOV-2013,  0.25500846,  0.24500167,  0.25501020,  0.24500167,  0.00004251, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004251, JPY-LIBOR-3M
